genre,bpm,rolloff,centroid,rms,zcr,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13
1,151.99908088235293,5989.805447132595,2917.976303428024,0.29590988,89756,25.860218,61.6179,8.627798,54.037647,2.977298,18.041168,-1.5790771,7.2882233,0.15478374,1.5868737,-3.0037818,6.7649465,-7.099461
1,92.28515625,5586.507885817773,3315.96410570516,0.16711241,148953,-31.175058,31.413485,-27.384352,56.04864,0.88864076,25.287722,14.312557,9.091439,12.276908,10.465546,1.1430428,12.032185,-4.3572593
1,103.359375,5307.851237483069,2647.04184477555,0.29157615,94008,46.084385,77.661934,-22.580112,30.813873,1.2583793,13.080638,-1.1655794,13.726733,4.5220356,8.123151,-3.2431874,8.198444,-0.23242894
1,80.74951171875,5778.715056900639,2940.341804008315,0.23117547,106967,-16.09299,51.847004,-13.452043,46.79913,-1.3893007,12.573816,-3.767916,18.881468,-1.7355844,3.1086347,-5.2359843,2.3802748,-3.079265
1,95.703125,5323.001145873645,2714.2132957902622,0.23554213,96849,19.49083,71.799835,-20.6818,40.340492,7.2812395,8.103672,0.20302145,8.242713,-3.868253,3.6225307,-7.1217904,8.335598,-1.5014971
1,129.19921875,4985.144855511077,2723.3406212871605,0.18989918,96147,-69.50659,48.156956,-18.93206,89.29466,12.367926,14.889883,10.085209,12.976544,4.3831754,-1.2894865,0.13410941,5.2513,-3.0122347
1,99.38401442307692,5255.659886410362,2495.546632347308,0.2893572,76192,20.349596,80.35137,-14.231083,39.90656,7.662927,20.692038,1.4143842,9.024804,1.5130658,5.6082935,-2.3355515,7.899021,0.76753825
1,123.046875,5431.88382080834,2900.3160681781287,0.18555064,122126,-5.7961516,63.04025,-23.513584,56.643787,-0.6078998,6.1099076,-3.358388,8.9018345,-4.6398554,8.983838,0.95931196,3.3674161,-9.980425
1,89.10290948275862,4954.970037974072,2412.994915006155,0.24239285,82861,30.772131,92.042595,-23.089985,25.136106,-1.7600492,13.809116,1.5155447,8.992409,0.57595515,5.531551,-3.4115176,9.837094,0.2899024
1,151.99908088235293,5884.80608204939,3113.502235393352,0.10295436,116889,-61.990433,48.68941,-25.764778,40.462566,1.3258321,13.3541975,8.2646055,21.04689,4.937519,10.666648,1.7940671,9.426132,0.82456464
1,107.666015625,5846.756312131143,2802.9604757724583,0.2781405,90116,38.13652,71.36907,-12.983657,31.046398,3.704074,14.345966,0.84161,12.887115,4.339091,10.390336,-0.30471566,8.34586,-2.443048
1,99.38401442307692,6227.212344898897,2987.325772026578,0.24457373,95840,16.534752,62.998295,-1.8963561,41.08954,5.086334,13.815311,1.6983494,12.059857,-2.8201754,6.7179728,-2.1805017,6.983719,-2.8008373
1,184.5703125,5157.693812131143,2682.078657691595,0.14241344,101839,-40.614002,76.9585,-24.19928,49.835987,5.042284,7.5209913,-2.4225643,10.62034,-6.439261,7.304237,1.5083392,10.326834,-6.550421
1,112.34714673913044,5651.71582484762,2595.7714239245024,0.2960431,78329,33.787483,79.75246,-4.244271,36.2561,6.3664527,16.283436,-4.156721,8.172907,-2.5083363,6.1622124,2.0626855,6.5908914,-0.5340498
1,143.5546875,5085.802580180921,2510.174265861952,0.27816367,84878,29.455767,82.77772,-21.464739,35.67914,-2.6888902,15.241565,0.5098441,8.655283,6.0632076,7.1437507,2.581831,6.267721,2.9030478
1,112.34714673913044,5849.2896301458495,2846.9752693527857,0.29221755,92150,34.58048,66.5922,-8.908942,38.787918,-0.9042528,24.986353,1.7114662,13.038115,0.8219801,4.754037,-3.8148508,5.5600634,-1.4376173
1,112.34714673913044,4672.538412466138,2367.052735793681,0.22932652,86740,-7.8877363,86.74051,-27.828705,48.785168,4.054383,7.777809,-4.8866854,10.654033,2.5437627,4.5410943,-2.585714,7.030541,-2.0547664
1,143.5546875,5403.9839895148025,2682.3426973495148,0.24452989,92301,21.784168,77.28106,-15.387426,44.742516,-5.3491817,18.722477,1.3887568,11.297758,1.0714815,6.801365,-0.70576745,5.765404,-4.2532825
1,123.046875,5908.330939797794,2843.9871379434435,0.25134507,90201,-6.7335563,58.682808,-7.2564034,57.68975,22.986612,13.22724,2.6697145,19.32297,-4.920145,0.8606359,-0.592265,2.375219,-6.2859488
1,99.38401442307692,6197.004194230118,2719.632072101108,0.13521929,81378,-40.461773,81.74179,0.61432976,18.616175,5.507001,7.3571844,-0.074714474,8.251245,-3.8819375,7.0095744,5.133244,10.33488,-1.8747501
1,95.703125,5065.694368439193,2685.7055116963315,0.27436003,98790,10.972888,66.72803,-29.338898,58.890224,2.7254303,22.062468,3.1930487,9.62336,7.766056,7.229087,1.2774616,6.6436234,-1.729134
1,83.35433467741936,6040.296808484907,3023.8601988636774,0.24318542,108923,11.373644,56.51018,-3.4462967,48.636566,1.0416565,4.247046,-2.2021472,13.238865,-4.335858,6.837951,-4.4260864,5.77608,-8.427244
1,184.5703125,5536.89985245743,2724.5611864105067,0.2603005,94175,28.036081,74.49089,-20.998917,41.26306,-0.07524777,19.776337,-7.6691885,16.224285,-2.3501337,8.512431,-0.14407003,9.496749,-3.7657082
1,161.4990234375,6105.396414836494,2903.5423394905106,0.13705969,90017,-54.81688,68.79219,3.2692432,44.23259,0.10359537,20.623926,-10.624618,9.194091,-5.3560333,15.962195,-0.25216022,13.473276,0.46166807
1,107.666015625,5241.001641713428,2852.0656406469257,0.21562101,106505,-3.4042509,58.094196,-24.156214,57.31839,13.854417,4.216951,5.7387247,12.982194,1.8542656,1.7631012,-3.658916,9.92629,-9.935222
1,99.38401442307692,5300.101284345975,2707.19754295714,0.2581527,105790,29.752848,77.23309,-29.987156,31.209404,-13.096267,20.33785,6.790712,14.919201,3.9795406,2.4543953,1.4239606,4.2896495,-2.9251158
1,103.359375,4692.904955979102,2132.9919240896065,0.15927349,53763,-100.20635,97.24851,6.7439117,30.075933,7.899804,12.82179,2.735121,14.570104,4.1559725,7.6115427,3.5654206,10.3461275,-0.8710206
