genre,bpm,rolloff,centroid,rms,zcr,spec_bw,spec_flatness,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13
1,78.30255681818181,5207.993507975764,2621.0837693426342,0.28824517,88999,2370.622270641957,0.027358005,23.572552,73.22554,-21.418228,48.07046,0.56833446,18.845522,-0.9877924,10.571586,3.0248127,7.3791146,-2.2504294,7.9721136,-0.80823624
1,117.45383522727273,5808.598209534636,3003.911316200452,0.27342445,114357,2495.110162096905,0.054503396,24.90051,63.524635,-17.22172,41.842373,1.0281465,26.317528,4.9230037,9.220582,-1.8126137,3.6829143,-1.0324035,-4.2120705,-6.265913
1,117.45383522727273,5721.132071763738,2849.80455286111,0.25602034,95021,2544.9153679250053,0.0458657,20.206854,63.53563,-17.468939,41.082867,4.119567,12.080076,1.7773166,16.072617,0.998661,8.05907,-0.34330115,7.7510176,-2.179695
1,135.99917763157896,5511.8000042327785,2831.3940331877143,0.1327057,112590,2431.9187805813817,0.03782736,-41.443016,67.98733,-22.693,36.810482,-0.12430263,3.8455124,-4.0087457,10.5590105,-3.1403472,10.447488,4.1484146,5.833785,-5.978715
1,151.99908088235293,6154.946115216235,3211.2263328447543,0.14390026,120248,2661.293955363989,0.06465016,-44.65602,50.215725,-0.71078104,51.66235,3.2334352,7.8191953,1.0958388,13.673822,-1.7939441,3.969914,-4.073489,1.2959744,-12.280856
1,151.99908088235293,5313.526203167327,2888.383985085645,0.16888459,118236,2346.4526975186004,0.035330467,-24.399378,61.087406,-21.011105,62.023373,-0.86358017,23.184528,1.4525712,11.499861,0.3188727,0.20508426,-4.927748,13.240488,-4.287145
1,107.666015625,6006.230347813467,2891.840098426776,0.28461513,88355,2719.135742684169,0.039863404,16.408865,61.353443,7.8803477,52.39723,3.0098107,13.069868,5.260489,7.097681,-8.092712,4.5194736,0.10059831,-1.005613,-8.418956
1,99.38401442307692,5620.799345128677,2735.892291781043,0.2972865,87301,2569.903367091227,0.043154158,35.018635,71.52736,-11.678283,41.22392,5.494497,18.562687,0.2164148,8.02151,3.2884035,6.1734204,0.2978313,9.220727,-2.5014992
1,151.99908088235293,5323.95114012916,2762.8895652632946,0.2988202,94037,2455.550883741748,0.029934667,19.451197,62.71413,-18.805574,50.13435,7.956605,13.706856,7.8432503,13.059496,10.852658,4.2848377,2.9343731,9.4317,-0.7558753
1,92.28515625,5397.100697803792,2686.705653694605,0.26292163,96422,2420.2327064926535,0.03130482,21.311235,69.44794,-24.496742,41.148796,2.489682,23.684414,2.8040714,17.077108,3.9106898,12.107814,1.9200033,11.609856,-0.84927016
1,135.99917763157896,6118.238003851829,2883.448474005169,0.34188858,88048,2677.745088290403,0.056179754,59.86194,67.36379,-16.891985,22.79165,8.749589,22.829079,1.7622358,9.597777,0.6554524,11.876693,-1.3006113,8.818976,1.9161422
